title,artist,genre,mood,language
Aadat,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Moh Moh Ke Dhage,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Hamari Adhuri Kahani,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Neha,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Chandni O Chandni,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Aah Re Aah,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Jhoom Barabar Jhoom,Rahat Fateh Ali Khan,Bollywood,Happy,Hindi
Taal Se Taal,Rahat Fateh Ali Khan,Bollywood,Energetic,Hindi
Ek Hasratein,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Soch Na Sake,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Dilse Re,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Jiya Jale,Rahat Fateh Ali Khan,Romantic,Sad,Hindi
Tum Ho,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Gaaye Ja,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Rang De Basanti,Rahat Fateh Ali Khan,Patriotic,Inspirational,Hindi
Tere Liye,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Tere Bin Nahi Lagda,Rahat Fateh Ali Khan,Romantic,Sad,Hindi
Meri Jaan,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Teri Khushiyah Ke Liye,Rahat Fateh Ali Khan,Romantic,Happy,Hindi
Tere Naam Tera,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Tere Bina,Atif Aslam,Romantic,Emotional,Hindi
Tere Naam,Atif Aslam,Romantic,Emotional,Hindi
Tere Liye,Atif Aslam,Romantic,Emotional,Hindi
Main Teri Rahoon,Atif Aslam,Romantic,Emotional,Hindi
Tum Se Hi,Atif Aslam,Romantic,Romantic,Hindi
Dil Roshan Dil,Atif Aslam,Romantic,Romantic,Hindi
Tera Hoon,Atif Aslam,Romantic,Romantic,Hindi
Baarish Ban Jaana,Atif Aslam,Romantic,Sad,Hindi
Tera Mera Rishta,Atif Aslam,Romantic,Romantic,Hindi
Jaane Jaan,Atif Aslam,Romantic,Romantic,Hindi
Khuda Jaane,Atif Aslam,Romantic,Emotional,Hindi
Tum Ho,Atif Aslam,Romantic,Emotional,Hindi
Lakhon Hain Isiqliye,Atif Aslam,Romantic,Emotional,Hindi
Meri Jaan,Atif Aslam,Romantic,Romantic,Hindi
Jeena Jeena,Atif Aslam,Romantic,Happy,Hindi
Doorie,Atif Aslam,Romantic,Sad,Hindi
Ek Aur Ek Gyarah,Atif Aslam,Romantic,Happy,Hindi
Tere Haath Mein,Atif Aslam,Romantic,Emotional,Hindi
Mere Paas Tum Ho,Atif Aslam,Romantic,Sad,Hindi
Pehli Nazar Mein,Atif Aslam,Romantic,Romantic,Hindi
Tune Jo Na Kaha,Atif Aslam,Romantic,Emotional,Hindi
Baarish Ban Jaana (Reprise),Atif Aslam,Romantic,Sad,Hindi
Dil Mein Teri,Atif Aslam,Romantic,Emotional,Hindi
Sukoon De,Atif Aslam,Romantic,Peaceful,Hindi
Tujhe Jaane Do,Atif Aslam,Romantic,Emotional,Hindi
Teri Ulfat Da,Atif Aslam,Romantic,Romantic,Hindi
Saajan Dheere Chalna,Atif Aslam,Romantic,Romantic,Hindi
Mujhe Peene De,Atif Aslam,Romantic,Romantic,Hindi
Tere Naam Tera,Atif Aslam,Romantic,Romantic,Hindi
Teri Kasam,Atif Aslam,Romantic,Romantic,Hindi
Mere Liye Tune,Atif Aslam,Romantic,Emotional,Hindi
Dilbara,Atif Aslam,Romantic,Emotional,Hindi
Saiyaan,Atif Aslam,Romantic,Emotional,Hindi
Tera Bna,Atif Aslam,Romantic,Romantic,Hindi
Tum Toh,Atif Aslam,Romantic,Romantic,Hindi
Piya Amore,Atif Aslam,Romantic,Romantic,Hindi
Dil Jo Bhi,Atif Aslam,Romantic,Emotional,Hindi
Neha Teri,Atif Aslam,Romantic,Emotional,Hindi
Mujhe Dekh,Atif Aslam,Romantic,Emotional,Hindi
Chal Saath Mere,Atif Aslam,Romantic,Happy,Hindi
Thodisi Bewafai,Jagjit Singh,Ghazal,Emotional,Hindi
Aa Bhee Jao Sajan,Jagjit Singh,Ghazal,Emotional,Hindi
Aa Jaao Na,Jagjit Singh,Ghazal,Sad,Hindi
Raat Akeli Hai,Jagjit Singh,Ghazal,Sad,Hindi
Neend Udaas Hai Meri,Jagjit Singh,Ghazal,Sad,Hindi
Kisi Aur Ke Naam,Jagjit Singh,Ghazal,Emotional,Hindi
Zindagi Ek Safar Hai,Jagjit Singh,Ghazal,Inspirational,Hindi
Aye Dil Diwane,Jagjit Singh,Ghazal,Emotional,Hindi
Roz Roz Aata Hoon Yaad,Jagjit Singh,Ghazal,Emotional,Hindi
Har Kadam Par Khyal Tumhara,Jagjit Singh,Ghazal,Romantic,Hindi
Suno Na Sangemarmar,Jagjit Singh,Ghazal,Emotional,Hindi
Dheere Dheere Se,Jagjit Singh,Ghazal,Romantic,Hindi
Kisi Aur Ki Baarish,Jagjit Singh,Ghazal,Emotional,Hindi
Farq Padh Gaya,Jagjit Singh,Ghazal,Sad,Hindi
Banaya Hai Aapne,Jagjit Singh,Ghazal,Romantic,Hindi
Rahiye Ab Ke Hum,Jagjit Singh,Ghazal,Emotional,Hindi
Tujhe Dekha Toh,Jagjit Singh,Ghazal,Romantic,Hindi
Jhuki Jhuki Si,Jagjit Singh,Ghazal,Emotional,Hindi
Dil Ko Batla Do,Jagjit Singh,Ghazal,Emotional,Hindi
Mujhe Pata Hai,Jagjit Singh,Ghazal,Sad,Hindi
Milegi Nahi Ab,Jagjit Singh,Ghazal,Sad,Hindi
Raat Din Bas,Jagjit Singh,Ghazal,Emotional,Hindi
Tere Bina Nahi,Jagjit Singh,Ghazal,Sad,Hindi
Kabhi Main Kehta,Jagjit Singh,Ghazal,Emotional,Hindi
Ye Dil Ye Pagal Dil,Jagjit Singh,Ghazal,Emotional,Hindi
Wo Hote Hain Bahut,Jagjit Singh,Ghazal,Romantic,Hindi
Kyun Na Ho Sake,Jagjit Singh,Ghazal,Emotional,Hindi
Hai Apna Dil,Jagjit Singh,Ghazal,Romantic,Hindi
Raat Kati Na Jaye,Jagjit Singh,Ghazal,Emotional,Hindi
Ittefaq Se,Jagjit Singh,Ghazal,Romantic,Hindi
Tujhe Dekh Dekh Soona Soona,Mohammed Rafi,Romantic,Sad,Hindi
Chandni O Meri Chandni,Mohammed Rafi,Romantic,Romantic,Hindi
Jab Pyaar Kiya Toh Darna Kya,Mohammed Rafi,Romantic,Happy,Hindi
Akela Akele Hi,Mohammed Rafi,Romantic,Sad,Hindi
Tujhe Kya Soocha Hai,Mohammed Rafi,Romantic,Emotional,Hindi
Rut Bhar Tere Liye,Mohammed Rafi,Romantic,Romantic,Hindi
Yeh Kaun Aaya Mere Jeevan Mein,Mohammed Rafi,Romantic,Happy,Hindi
Ye Kaun Si Raah,Mohammed Rafi,Romantic,Emotional,Hindi
Mere Banke Bihari,Mohammed Rafi,Devotional,Spiritual,Hindi
Dilko Dil Mein,Mohammed Rafi,Romantic,Romantic,Hindi
Bade Miyan Chote Miyan,Mohammed Rafi,Bollywood,Happy,Hindi
Tum Pukar Lo Agar Koi,Mohammed Rafi,Romantic,Emotional,Hindi
Tujhe Maaf Kiya,Mohammed Rafi,Romantic,Emotional,Hindi
Jinhe Naaz Hai,Mohammed Rafi,Romantic,Romantic,Hindi
Chhaon Mein Teri,Mohammed Rafi,Romantic,Romantic,Hindi
Dheere Dheere Se,Mohammed Rafi,Romantic,Romantic,Hindi
Maine Tumhe Dekha,Mohammed Rafi,Romantic,Happy,Hindi
Kaho Na Pyaar Hai,Mohammed Rafi,Romantic,Romantic,Hindi
Koi Nahi Tujhsa,Mohammed Rafi,Romantic,Romantic,Hindi
Roti Hui Subah,Mohammed Rafi,Romantic,Peaceful,Hindi
Kitne Bechain,Mohammed Rafi,Romantic,Emotional,Hindi
Dil Bekarar,Mohammed Rafi,Romantic,Emotional,Hindi
Maine Poocha Chand Se,Mohammed Rafi,Romantic,Romantic,Hindi
Tere Bina Zindagi Se,Mohammed Rafi,Romantic,Sad,Hindi
Ye Raat Bhar,Mohammed Rafi,Romantic,Romantic,Hindi
Dil Aaj Kal Tanhaiyon,Mohammed Rafi,Romantic,Emotional,Hindi
Toote Hue Dilo,Mohammed Rafi,Romantic,Sad,Hindi
Chupi Chupi Raat,Mohammed Rafi,Romantic,Romantic,Hindi
Khoya Khoya Chand,Mohammed Rafi,Romantic,Romantic,Hindi
Tere Liye Jeevan Waha,Mohammed Rafi,Romantic,Emotional,Hindi
Lag Ja Gale,Lata Mangeshkar,Romantic,Romantic,Hindi
Tujhe Dekha Toh Ye Jaana,Lata Mangeshkar,Romantic,Romantic,Hindi
Ae Mere Watan Ke Logo,Lata Mangeshkar,Patriotic,Inspirational,Hindi
Neele Neel Ambar,Lata Mangeshkar,Romantic,Happy,Hindi
Paan Bhari Paan Bhari,Lata Mangeshkar,Romantic,Happy,Hindi
Bheegi Bheegi Raaton Mein,Lata Mangeshkar,Romantic,Romantic,Hindi
Yaad Hai Na Mere Dil,Lata Mangeshkar,Romantic,Romantic,Hindi
Ek Abhaas Hai,Lata Mangeshkar,Romantic,Emotional,Hindi
Bheege Hote Honge,Lata Mangeshkar,Romantic,Romantic,Hindi
Mohe Panghat Pe Nandlal,Lata Mangeshkar,Romantic,Happy,Hindi
Jahan Tum Jaao,Lata Mangeshkar,Romantic,Happy,Hindi
Dil Kya Baat Hai,Lata Mangeshkar,Romantic,Romantic,Hindi
Tum Aa Gaye Ho,Lata Mangeshkar,Romantic,Happy,Hindi
Chaleya Chaleya,Lata Mangeshkar,Romantic,Happy,Hindi
Tere Haath Mein,Lata Mangeshkar,Romantic,Emotional,Hindi
Kuch Bhi Nahin Mere Paas,Lata Mangeshkar,Romantic,Sad,Hindi
Mere Sapne Ki Rani,Lata Mangeshkar,Romantic,Happy,Hindi
Teri Chunar,Lata Mangeshkar,Romantic,Romantic,Hindi
Chachi Teri Chaachi,Lata Mangeshkar,Bollywood,Happy,Hindi
Dil Nahi Todna Mera,Lata Mangeshkar,Romantic,Emotional,Hindi
Rut Aaye Jo,Lata Mangeshkar,Romantic,Romantic,Hindi
Ho Raahi Ho,Lata Mangeshkar,Romantic,Happy,Hindi
Tum Mile Dil Khile,Lata Mangeshkar,Romantic,Happy,Hindi
Dekho Yeh Mausam,Lata Mangeshkar,Romantic,Romantic,Hindi
Dilruba Meri Baat Sun,Lata Mangeshkar,Romantic,Romantic,Hindi
Tujhe Bhulana Mushkil Hai,Lata Mangeshkar,Romantic,Sad,Hindi
Jeena Yahan Marna Yahan,Lata Mangeshkar,Patriotic,Inspirational,Hindi
Aasmaan Se Aata Hai,Lata Mangeshkar,Romantic,Romantic,Hindi
Yeh Hasratein,Lata Mangeshkar,Romantic,Emotional,Hindi
Mere Naina Saawan Bhadon,Lata Mangeshkar,Romantic,Romantic,Hindi
Tum Itna Jo Muskurate Ho,Kishore Kumar,Romantic,Happy,Hindi
Manchala Manchala,Kishore Kumar,Romantic,Sad,Hindi
Raina Beeti Jaye,Kishore Kumar,Romantic,Emotional,Hindi
Tere Bina Jiya Na Jaye,Mukesh,Romantic,Sad,Hindi
Chodo Kal Ki Batein,Mukesh,Romantic,Happy,Hindi
Subah Hone Na De,B Praak,Romantic,Emotional,Hindi
Raatan Lambiyan,B Praak,Romantic,Romantic,Hindi
Dil Ko Karaar Aaya,Neha Kakkar,Romantic,Romantic,Hindi
Neend Chura Di Tune,Neha Kakkar,Romantic,Emotional,Hindi
Raatan Lambiyan,Jubin Nautiyal,Romantic,Romantic,Hindi
Baarish Ban Jaana,Jubin Nautiyal,Romantic,Sad,Hindi
Binte Dil,Badshah,Bollywood,Happy,Hindi
Gallan Goodiyaan,Badshah,Punjabi,Happy,Hindi
Kamli,Sonu Nigam,Bollywood,Happy,Hindi
Abhi Mujh Mein Kahin,Sonu Nigam,Romantic,Emotional,Hindi
Teri Chunar,Kumar Sanu,Romantic,Romantic,Hindi
Mere Angne Mein,Kumar Sanu,Romantic,Romantic,Hindi
Khayal Rakhna Mera,Udit Narayan,Romantic,Emotional,Hindi
Mere Dil Se,Udit Narayan,Romantic,Emotional,Hindi
Jiya Jale,A.R. Rahman,Romantic,Sad,Hindi
Dil Se Re,A.R. Rahman,Romantic,Romantic,Hindi
Dil Chahta Hai,A.R. Rahman,Romantic,Happy,Hindi
Alaipayuthey,A.R. Rahman,Romantic,Romantic,Hindi
Luka Chuppi,Pritam,Bollywood,Happy,Hindi
Dil Bechara,Pritam,Romantic,Romantic,Hindi
Tunak Tunak Tun,Daler Mehndi,Punjabi,Happy,Hindi
Ho Gaya Hai Toh Ho Gaya,Daler Mehndi,Punjabi,Happy,Hindi
Khuda Jaane,KK,Romantic,Emotional,Hindi
Tadap Tadap,KK,Romantic,Emotional,Hindi
Teri Chunar,Kailash Kher,Romantic,Romantic,Hindi
Baarish Ban Jaana,Ash King,Romantic,Sad,Hindi
Raabta,Ash King,Romantic,Romantic,Hindi
Tera Ban Jaunga,Akhil Sachdeva,Romantic,Romantic,Hindi
Couple Goals,Guri,Punjabi,Happy,Hindi
Mera Naal Vic Jaana,Sidhu Moose Wala,Punjabi,Happy,Hindi
Galiyaan,Ek Villain,Romantic,Emotional,Hindi
Pehli Baar,Ek Villain,Romantic,Romantic,Hindi
Ik Ankahi Si Baat Hai,Madhubala,Sufi,Romantic,Hindi
Chandani Raatein,Shreya Ghoshal,Romantic,Romantic,Hindi
Dil Dooba,Atif Aslam,Romantic,Emotional,Hindi
Teri Mitti,B Praak,Inspirational,Inspirational,Hindi
