title,artist,genre,mood,language
Song 121,Sonu Nigam,Bollywood,Spiritual,Hindi
Song 122,Tushar Raj,Romantic,Energetic,Hindi
Song 123,Ranbir Kapoor,Pop,Spiritual,Hindi
Song 124,Deepika Padukone,Bollywood,Philosophical,Hindi
Song 125,Madhubala,Sufi,Peaceful,Hindi
Song 126,Sanjay Leela Bhansali,Devotional,Sad,Hindi
Song 127,Kadir Ali,Ghazal,Peaceful,Hindi
Song 128,Lata Mangeshkar,Folk,Philosophical,Hindi
Song 129,Sidhu Moose Wala,Devotional,Romantic,Hindi
Song 130,Sonu Nigam,Ghazal,Sad,Hindi
Song 131,Arijit Singh,Punjabi,Romantic,Hindi
Song 132,B Praak,Pop,Spiritual,Hindi
Song 133,Kishore Kumar,Bollywood,Melancholic,Hindi
Song 134,Ranbir Kapoor,Pop,Emotional,Hindi
Song 135,Atif Aslam,Inspirational,Spiritual,Hindi
Song 136,Lata Mangeshkar,Bollywood,Peaceful,Hindi
Song 137,Mukesh,Folk,Melancholic,Hindi
Song 138,Kadir Ali,Inspirational,Sad,Hindi
Song 139,Malhar,Folk,Peaceful,Hindi
Song 140,Hrithik Roshan,Folk,Sad,Hindi
Song 141,Mukesh,Devotional,Emotional,Hindi
Song 142,Sidhu Moose Wala,Inspirational,Energetic,Hindi
Song 143,Hrithik Roshan,Bollywood,Spiritual,Hindi
Song 144,B Praak,Ghazal,Emotional,Hindi
Song 145,Kadir Ali,Folk,Philosophical,Hindi
Song 146,Sidhu Moose Wala,Devotional,Emotional,Hindi
Song 147,Rahat Fateh Ali Khan,Patriotic,Sad,Hindi
Song 148,Neha Kakkar,Folk,Melancholic,Hindi
Song 149,Mukesh,Inspirational,Sad,Hindi
Song 150,B Praak,Bollywood,Romantic,Hindi
Song 151,Malhar,Ghazal,Romantic,Hindi
Song 152,Akhil Sachdeva,Pop,Melancholic,Hindi
Song 153,Kishore Kumar,Sufi,Emotional,Hindi
Song 154,Sidhu Moose Wala,Punjabi,Romantic,Hindi
Song 155,Arijit Singh,Bollywood,Romantic,Hindi
Song 156,Sonu Nigam,Sufi,Spiritual,Hindi
Song 157,Pritam,Bollywood,Sad,Hindi
Song 158,Kadir Ali,Sufi,Spiritual,Hindi
Song 159,Asha Parekh,Patriotic,Spiritual,Hindi
Song 160,Panjabi MC,Punjabi,Spiritual,Hindi
Song 161,Jubin Nautiyal,Inspirational,Philosophical,Hindi
Song 162,Jagjit Singh,Devotional,Romantic,Hindi
Song 163,Akhil Sachdeva,Sufi,Spiritual,Hindi
Song 164,Mukesh,Devotional,Happy,Hindi
Song 165,A.R. Rahman,Bollywood,Energetic,Hindi
Song 166,B Praak,Patriotic,Philosophical,Hindi
Song 167,Sonu Nigam,Romantic,Romantic,Hindi
Song 168,Malhar,Patriotic,Melancholic,Hindi
Song 169,Madhubala,Romantic,Sad,Hindi
Song 170,Panjabi MC,Ghazal,Emotional,Hindi
Song 171,Neha Kakkar,Punjabi,Spiritual,Hindi
Song 172,Mukesh,Inspirational,Philosophical,Hindi
Song 173,Tushar Raj,Sufi,Melancholic,Hindi
Song 174,Sanjay Leela Bhansali,Ghazal,Romantic,Hindi
Song 175,Jagjit Singh,Patriotic,Sad,Hindi
Song 176,A.R. Rahman,Folk,Emotional,Hindi
Song 177,Atif Aslam,Patriotic,Happy,Hindi
Song 178,Lata Mangeshkar,Ghazal,Sad,Hindi
Song 179,Mohammed Rafi,Inspirational,Spiritual,Hindi
Song 180,Asha Parekh,Pop,Philosophical,Hindi
Song 181,B Praak,Sufi,Energetic,Hindi
Song 182,Udit Narayan,Sufi,Melancholic,Hindi
Song 183,Deepika Padukone,Punjabi,Happy,Hindi
Song 184,Sanjay Leela Bhansali,Punjabi,Melancholic,Hindi
Song 185,Mohammed Rafi,Ghazal,Romantic,Hindi
Song 186,Kumar Sanu,Sufi,Spiritual,Hindi
Song 187,A.R. Rahman,Inspirational,Emotional,Hindi
Song 188,Pritam,Inspirational,Philosophical,Hindi
Song 189,Kumar Sanu,Bollywood,Spiritual,Hindi
Song 190,Lata Mangeshkar,Patriotic,Happy,Hindi
Song 191,Kumar Sanu,Romantic,Philosophical,Hindi
Song 192,Akhil Sachdeva,Bollywood,Spiritual,Hindi
Song 193,Akshay Kumar,Romantic,Romantic,Hindi
Song 194,Lata Mangeshkar,Romantic,Emotional,Hindi
Song 195,Guri,Romantic,Happy,Hindi
Song 196,Udit Narayan,Sufi,Emotional,Hindi
Song 197,Hrithik Roshan,Ghazal,Spiritual,Hindi
Song 198,Deepika Padukone,Patriotic,Emotional,Hindi
Song 199,Ek Villain,Ghazal,Spiritual,Hindi
Song 200,B Praak,Folk,Energetic,Hindi
Song 201,Mohammed Rafi,Devotional,Energetic,Hindi
Song 202,Akhil Sachdeva,Bollywood,Happy,Hindi
Song 203,Kumar Sanu,Folk,Happy,Hindi
Song 204,Ash King,Folk,Happy,Hindi
Song 205,Kumar Sanu,Sufi,Happy,Hindi
Song 206,Sanjay Leela Bhansali,Pop,Emotional,Hindi
Song 207,Abhijeet,Pop,Sad,Hindi
Song 208,Daler Mehndi,Romantic,Philosophical,Hindi
Song 209,B Praak,Romantic,Happy,Hindi
Song 210,Lata Mangeshkar,Bollywood,Energetic,Hindi
Song 211,Sanjay Leela Bhansali,Pop,Spiritual,Hindi
Song 212,Malhar,Ghazal,Romantic,Hindi
Song 213,Udit Narayan,Romantic,Spiritual,Hindi
Song 214,Rahat Fateh Ali Khan,Pop,Happy,Hindi
Song 215,Ash King,Patriotic,Happy,Hindi
Song 216,Guri,Pop,Spiritual,Hindi
Song 217,Malhar,Devotional,Emotional,Hindi
Song 218,Arijit Singh,Devotional,Happy,Hindi
Song 219,Daler Mehndi,Bollywood,Romantic,Hindi
Song 220,Ek Villain,Pop,Melancholic,Hindi
Song 221,Mukesh,Folk,Energetic,Hindi
Song 222,Ek Villain,Ghazal,Romantic,Hindi
Song 223,Hrithik Roshan,Patriotic,Melancholic,Hindi
Song 224,Sonu Nigam,Devotional,Sad,Hindi
Song 225,Atif Aslam,Folk,Romantic,Hindi
Song 226,Guri,Devotional,Philosophical,Hindi
Song 227,Malhar,Patriotic,Peaceful,Hindi
Song 228,Malhar,Pop,Peaceful,Hindi
Song 229,Rahat Fateh Ali Khan,Folk,Spiritual,Hindi
Song 230,Kumar Sanu,Bollywood,Peaceful,Hindi
Song 231,Badshah,Inspirational,Energetic,Hindi
Song 232,Jubin Nautiyal,Pop,Happy,Hindi
Song 233,Sanjay Leela Bhansali,Romantic,Philosophical,Hindi
Song 234,Arijit Singh,Ghazal,Emotional,Hindi
Song 235,Panjabi MC,Romantic,Emotional,Hindi
Song 236,Mukesh,Romantic,Emotional,Hindi
Song 237,Ash King,Sufi,Spiritual,Hindi
Song 238,Ranbir Kapoor,Romantic,Spiritual,Hindi
Song 239,Kishore Kumar,Sufi,Peaceful,Hindi
Song 240,Madhubala,Romantic,Energetic,Hindi
Song 241,Ek Villain,Punjabi,Emotional,Hindi
Song 242,Sanjay Leela Bhansali,Ghazal,Romantic,Hindi
Song 243,Sidhu Moose Wala,Devotional,Peaceful,Hindi
Song 244,Tushar Raj,Pop,Peaceful,Hindi
Song 245,B Praak,Ghazal,Romantic,Hindi
Song 246,Abhijeet,Inspirational,Energetic,Hindi
Song 247,Jagjit Singh,Punjabi,Philosophical,Hindi
Song 248,Mukesh,Pop,Peaceful,Hindi
Song 249,Abhijeet,Inspirational,Energetic,Hindi
Song 250,Ranbir Kapoor,Punjabi,Emotional,Hindi
Song 251,Rahat Fateh Ali Khan,Folk,Spiritual,Hindi
Song 252,Badshah,Bollywood,Philosophical,Hindi
Song 253,Akshay Kumar,Devotional,Peaceful,Hindi
Song 254,Udit Narayan,Romantic,Philosophical,Hindi
Song 255,Abhijeet,Bollywood,Peaceful,Hindi
Song 256,Lata Mangeshkar,Inspirational,Happy,Hindi
Song 257,Panjabi MC,Ghazal,Sad,Hindi
Song 258,Madhubala,Sufi,Energetic,Hindi
Song 259,Udit Narayan,Ghazal,Emotional,Hindi
Song 260,Atif Aslam,Bollywood,Peaceful,Hindi
Song 261,Kishore Kumar,Sufi,Sad,Hindi
Song 262,Ek Villain,Sufi,Energetic,Hindi
Song 263,Tushar Raj,Devotional,Happy,Hindi
Song 264,Asha Parekh,Pop,Melancholic,Hindi
Song 265,B Praak,Punjabi,Sad,Hindi
Song 266,Daler Mehndi,Patriotic,Sad,Hindi
Song 267,B Praak,Sufi,Sad,Hindi
Song 268,Kumar Sanu,Pop,Romantic,Hindi
Song 269,Sonu Nigam,Bollywood,Spiritual,Hindi
Song 270,Kumar Sanu,Inspirational,Spiritual,Hindi
Song 271,Sonu Nigam,Patriotic,Romantic,Hindi
Song 272,Rahat Fateh Ali Khan,Ghazal,Philosophical,Hindi
Song 273,Pritam,Punjabi,Sad,Hindi
Song 274,Daler Mehndi,Ghazal,Sad,Hindi
Song 275,Udit Narayan,Devotional,Philosophical,Hindi
Song 276,Udit Narayan,Ghazal,Emotional,Hindi
Song 277,Guri,Sufi,Sad,Hindi
Song 278,Hrithik Roshan,Pop,Energetic,Hindi
Song 279,Arijit Singh,Inspirational,Romantic,Hindi
Song 280,Arijit Singh,Punjabi,Energetic,Hindi
Song 281,Mukesh,Patriotic,Happy,Hindi
Song 282,Panjabi MC,Devotional,Melancholic,Hindi
Song 283,B Praak,Patriotic,Romantic,Hindi
Song 284,Shreya Ghoshal,Sufi,Melancholic,Hindi
Song 285,A.R. Rahman,Devotional,Emotional,Hindi
Song 286,Sidhu Moose Wala,Pop,Peaceful,Hindi
Song 287,Badshah,Sufi,Emotional,Hindi
Song 288,Asha Parekh,Ghazal,Peaceful,Hindi
Song 289,Deepika Padukone,Bollywood,Emotional,Hindi
Song 290,Sonu Nigam,Punjabi,Sad,Hindi
Song 291,Kishore Kumar,Punjabi,Melancholic,Hindi
Song 292,Lata Mangeshkar,Sufi,Energetic,Hindi
Song 293,Mohammed Rafi,Devotional,Romantic,Hindi
Song 294,Neha Kakkar,Patriotic,Peaceful,Hindi
Song 295,Kadir Ali,Inspirational,Energetic,Hindi
Song 296,Ek Villain,Devotional,Emotional,Hindi
Song 297,Jagjit Singh,Ghazal,Spiritual,Hindi
Song 298,Akhil Sachdeva,Folk,Sad,Hindi
Song 299,B Praak,Romantic,Sad,Hindi
Song 300,Panjabi MC,Folk,Romantic,Hindi
Song 301,Jubin Nautiyal,Folk,Melancholic,Hindi
Song 302,Akhil Sachdeva,Punjabi,Energetic,Hindi
Song 303,Atif Aslam,Punjabi,Spiritual,Hindi
Song 304,Kadir Ali,Romantic,Philosophical,Hindi
Song 305,Akshay Kumar,Inspirational,Spiritual,Hindi
Song 306,Deepika Padukone,Pop,Energetic,Hindi
Song 307,Mukesh,Patriotic,Emotional,Hindi
Song 308,Badshah,Pop,Melancholic,Hindi
Song 309,Asha Parekh,Sufi,Romantic,Hindi
Song 310,Arijit Singh,Inspirational,Sad,Hindi
Song 311,A.R. Rahman,Romantic,Happy,Hindi
Song 312,Sidhu Moose Wala,Sufi,Sad,Hindi
Song 313,Panjabi MC,Sufi,Happy,Hindi
Song 314,Udit Narayan,Pop,Spiritual,Hindi
Song 315,Mohammed Rafi,Bollywood,Romantic,Hindi
Song 316,Deepika Padukone,Inspirational,Emotional,Hindi
Song 317,Pritam,Folk,Romantic,Hindi
Song 318,Atif Aslam,Devotional,Philosophical,Hindi
Song 319,Hrithik Roshan,Inspirational,Philosophical,Hindi
Song 320,Daler Mehndi,Ghazal,Happy,Hindi
Song 321,Sidhu Moose Wala,Patriotic,Emotional,Hindi
Song 322,A.R. Rahman,Inspirational,Emotional,Hindi
Song 323,Neha Kakkar,Folk,Romantic,Hindi
Song 324,Kadir Ali,Romantic,Energetic,Hindi
Song 325,Neha Kakkar,Pop,Spiritual,Hindi
Song 326,Abhijeet,Patriotic,Romantic,Hindi
Song 327,Sidhu Moose Wala,Ghazal,Romantic,Hindi
Song 328,Kumar Sanu,Folk,Spiritual,Hindi
Song 329,Abhijeet,Patriotic,Emotional,Hindi
Song 330,Rahat Fateh Ali Khan,Ghazal,Philosophical,Hindi
Song 331,Guri,Inspirational,Peaceful,Hindi
Song 332,Sidhu Moose Wala,Ghazal,Energetic,Hindi
Song 333,Abhijeet,Patriotic,Happy,Hindi
Song 334,Arijit Singh,Bollywood,Energetic,Hindi
Song 335,B Praak,Bollywood,Melancholic,Hindi
Song 336,Jagjit Singh,Ghazal,Romantic,Hindi
Song 337,Kadir Ali,Bollywood,Spiritual,Hindi
Song 338,Sonu Nigam,Romantic,Spiritual,Hindi
Song 339,Malhar,Patriotic,Energetic,Hindi
Song 340,Tushar Raj,Punjabi,Happy,Hindi
Song 341,Guri,Punjabi,Philosophical,Hindi
Song 342,B Praak,Inspirational,Melancholic,Hindi
Song 343,Daler Mehndi,Patriotic,Spiritual,Hindi
Song 344,Shreya Ghoshal,Bollywood,Happy,Hindi
Song 345,Akshay Kumar,Pop,Happy,Hindi
Song 346,Kishore Kumar,Folk,Philosophical,Hindi
Song 347,Sonu Nigam,Devotional,Sad,Hindi
Song 348,B Praak,Inspirational,Romantic,Hindi
Song 349,Jubin Nautiyal,Sufi,Emotional,Hindi
Song 350,Abhijeet,Punjabi,Spiritual,Hindi
Song 351,Panjabi MC,Folk,Philosophical,Hindi
Song 352,Hrithik Roshan,Bollywood,Peaceful,Hindi
Song 353,A.R. Rahman,Sufi,Peaceful,Hindi
Song 354,Sonu Nigam,Patriotic,Happy,Hindi
Song 355,Atif Aslam,Inspirational,Spiritual,Hindi
Song 356,Pritam,Sufi,Sad,Hindi
Song 357,Ek Villain,Patriotic,Peaceful,Hindi
Song 358,Sonu Nigam,Romantic,Romantic,Hindi
Song 359,Deepika Padukone,Sufi,Philosophical,Hindi
Song 360,Malhar,Punjabi,Energetic,Hindi
Song 361,Abhijeet,Punjabi,Spiritual,Hindi
Song 362,Kumar Sanu,Bollywood,Emotional,Hindi
Song 363,Pritam,Pop,Energetic,Hindi
Song 364,A.R. Rahman,Patriotic,Philosophical,Hindi
Song 365,Atif Aslam,Devotional,Melancholic,Hindi
Song 366,Daler Mehndi,Patriotic,Philosophical,Hindi
Song 367,Daler Mehndi,Punjabi,Emotional,Hindi
Song 368,Hrithik Roshan,Ghazal,Romantic,Hindi
Song 369,Ranbir Kapoor,Patriotic,Melancholic,Hindi
Song 370,Arijit Singh,Romantic,Energetic,Hindi
Song 371,A.R. Rahman,Inspirational,Emotional,Hindi
Song 372,Ash King,Inspirational,Melancholic,Hindi
Song 373,Shreya Ghoshal,Romantic,Emotional,Hindi
Song 374,Jubin Nautiyal,Devotional,Emotional,Hindi
Song 375,Akhil Sachdeva,Ghazal,Peaceful,Hindi
Song 376,Malhar,Patriotic,Melancholic,Hindi
Song 377,Hrithik Roshan,Ghazal,Philosophical,Hindi
Song 378,Jagjit Singh,Pop,Energetic,Hindi
Song 379,Mohammed Rafi,Bollywood,Sad,Hindi
Song 380,Hrithik Roshan,Folk,Spiritual,Hindi
Song 381,Ek Villain,Sufi,Emotional,Hindi
Song 382,Ranbir Kapoor,Bollywood,Peaceful,Hindi
Song 383,Arijit Singh,Devotional,Philosophical,Hindi
Song 384,Sidhu Moose Wala,Bollywood,Melancholic,Hindi
Song 385,Kadir Ali,Pop,Philosophical,Hindi
Song 386,Badshah,Patriotic,Energetic,Hindi
Song 387,Jagjit Singh,Folk,Spiritual,Hindi
Song 388,Deepika Padukone,Bollywood,Peaceful,Hindi
Song 389,Jubin Nautiyal,Folk,Energetic,Hindi
Song 390,Lata Mangeshkar,Sufi,Spiritual,Hindi
Song 391,Arijit Singh,Patriotic,Spiritual,Hindi
Song 392,Jagjit Singh,Ghazal,Melancholic,Hindi
Song 393,Pritam,Patriotic,Sad,Hindi
Song 394,Pritam,Bollywood,Sad,Hindi
Song 395,Kishore Kumar,Folk,Peaceful,Hindi
Song 396,Kumar Sanu,Patriotic,Peaceful,Hindi
Song 397,Pritam,Patriotic,Melancholic,Hindi
Song 398,Mukesh,Folk,Emotional,Hindi
Song 399,Guri,Bollywood,Peaceful,Hindi
Song 400,Tushar Raj,Punjabi,Philosophical,Hindi
Song 401,A.R. Rahman,Folk,Peaceful,Hindi
Song 402,Sanjay Leela Bhansali,Folk,Peaceful,Hindi
Song 403,Deepika Padukone,Devotional,Happy,Hindi
Song 404,Panjabi MC,Romantic,Emotional,Hindi
Song 405,Jubin Nautiyal,Punjabi,Happy,Hindi
Song 406,Guri,Inspirational,Sad,Hindi
Song 407,Malhar,Sufi,Emotional,Hindi
Song 408,Kumar Sanu,Sufi,Happy,Hindi
Song 409,Kadir Ali,Pop,Peaceful,Hindi
Song 410,Mukesh,Patriotic,Romantic,Hindi
Song 411,Madhubala,Ghazal,Melancholic,Hindi
Song 412,Ranbir Kapoor,Folk,Philosophical,Hindi
Song 413,Rahat Fateh Ali Khan,Devotional,Spiritual,Hindi
Song 414,Ek Villain,Romantic,Sad,Hindi
Song 415,Sidhu Moose Wala,Inspirational,Romantic,Hindi
Song 416,Sonu Nigam,Ghazal,Spiritual,Hindi
Song 417,Ash King,Ghazal,Philosophical,Hindi
Song 418,B Praak,Punjabi,Emotional,Hindi
Song 419,Hrithik Roshan,Ghazal,Spiritual,Hindi
Song 420,Asha Parekh,Punjabi,Philosophical,Hindi
Song 421,Atif Aslam,Devotional,Energetic,Hindi
Song 422,Arijit Singh,Inspirational,Philosophical,Hindi
Song 423,Kishore Kumar,Sufi,Romantic,Hindi
Song 424,Atif Aslam,Ghazal,Sad,Hindi
Song 425,Arijit Singh,Punjabi,Spiritual,Hindi
Song 426,Guri,Ghazal,Melancholic,Hindi
Song 427,Jubin Nautiyal,Pop,Sad,Hindi
Song 428,B Praak,Romantic,Philosophical,Hindi
Song 429,Tushar Raj,Pop,Sad,Hindi
Song 430,Shreya Ghoshal,Devotional,Happy,Hindi
Song 431,Abhijeet,Sufi,Emotional,Hindi
Song 432,Deepika Padukone,Patriotic,Energetic,Hindi
Song 433,Malhar,Folk,Happy,Hindi
Song 434,Akhil Sachdeva,Ghazal,Spiritual,Hindi
Song 435,Neha Kakkar,Pop,Melancholic,Hindi
Song 436,Mukesh,Inspirational,Spiritual,Hindi
Song 437,Arijit Singh,Inspirational,Emotional,Hindi
Song 438,Guri,Inspirational,Spiritual,Hindi
Song 439,Sonu Nigam,Ghazal,Romantic,Hindi
Song 440,Kumar Sanu,Bollywood,Emotional,Hindi
Song 441,Shreya Ghoshal,Bollywood,Philosophical,Hindi
Song 442,Madhubala,Punjabi,Happy,Hindi
Song 443,Guri,Inspirational,Romantic,Hindi
Song 444,Udit Narayan,Sufi,Sad,Hindi
Song 445,Lata Mangeshkar,Pop,Spiritual,Hindi
Song 446,Kadir Ali,Sufi,Happy,Hindi
Song 447,Asha Parekh,Pop,Spiritual,Hindi
Song 448,Lata Mangeshkar,Inspirational,Philosophical,Hindi
